,Final Pick,Total Projected Indy Wins,First Quarter Wins,Second Quarter Wins,Third Quarter Wins,Games Played By Carson (17 Max),Colts Made Playoffs,Playoff_Result,Game_Where_Indy_Fell_Out_of_Playoffs,Carson Benched On Purpose,Out_of_Division,Game_Where_Indy_Fell_Out_of_Division,Wins_of_Div_Winner,Out_of_Wildcard,Game_Where_Indy_Fell_Out_of_Wildcard,Wins_of_Last_WC,Week 1 Result,Week 2 Result,Week 3 Result,Week 4 Result,Week 5 Result,Week 6 Result,Week 7 Result,Week 8 Result,Week 9 Result,Week 10 Result,Week 11 Result,Week 12 Result,Week 13 Result,Week 14 Result,Week 15 Result,Week 16 Result,Week 17 Result,Draft Pick Points,Carson Final Snap %,Percentage of Total Occurances (%),Colts_Eliminated_From_Division_or_Wild_Card_Race_First
0,28,12.0,1,3,7,16.206557341902062,True,Second Round Exit,,False,False,,12.0,False,,10.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,660,95.33269024648273,0.01,None
1,18,9.0,1,2,4,14.034943481953155,False,Missed Playoffs,,True,True,14.0,12.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,IND,IND,BUF,TB,IND,IND,IND,IND,IND,900,82.55849107031268,0.01,Lost Division First
2,13,7.0,1,4,6,13.844979765096788,False,Missed Playoffs,16.0,True,True,16.0,10.0,True,16.0,10.0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,IND,BUF,IND,HOU,IND,ARI,OAK,JAX,1150,81.44105744174581,0.01,Lost Wild Card and Division at Same Time
3,29,8.0,1,3,5,14.79307675543227,True,Conference Final Exit,,False,False,,8.0,False,,8.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,TB,HOU,IND,ARI,IND,IND,640,87.0180985613663,0.01,None
4,5,5.0,1,2,3,13.12398020857472,False,Missed Playoffs,15.0,True,True,15.0,8.0,True,14.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,NYJ,IND,BUF,TB,HOU,IND,ARI,OAK,IND,1700,77.19988357985129,0.01,Lost Wild Card First
5,10,6.0,1,2,3,13.233572454463998,False,Missed Playoffs,15.0,True,True,14.0,11.0,True,15.0,10.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,IND,JAX,BUF,TB,IND,IND,ARI,OAK,IND,1300,77.84454384978822,0.01,Lost Division First
6,47,8.0,1,3,5,11.868712470898206,False,Missed Playoffs,,True,True,15.0,12.0,False,,8.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,NYJ,IND,BUF,IND,IND,IND,ARI,IND,JAX,430,69.81595571116593,0.01,Lost Division First
7,14,8.0,1,2,4,13.345401276799997,False,Missed Playoffs,17.0,True,True,15.0,11.0,True,17.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,IND,JAX,BUF,IND,IND,IND,ARI,IND,IND,1100,78.50236045176469,0.01,Lost Division First
8,8,7.0,1,1,4,14.136732614463995,False,Missed Playoffs,16.0,True,True,16.0,10.0,True,16.0,9.0,SEA,LAR,TEN,IND,BAL,HOU,SF,TEN,IND,IND,IND,TB,IND,NE,IND,OAK,IND,1400,83.15725067331762,0.01,Lost Wild Card and Division at Same Time
9,16,9.0,1,3,6,16.791992,False,Missed Playoffs,,False,False,,10.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,IND,IND,IND,ARI,IND,JAX,1000,98.77642352941177,0.01,Lost Wild Card and Division at Same Time
10,21,9.0,1,3,6,15.791992,True,First Round Exit,,True,True,15.0,12.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,IND,IND,IND,ARI,OAK,IND,800,92.8940705882353,0.01,None
11,44,7.0,1,3,4,12.093408687075293,False,Missed Playoffs,14.0,True,True,14.0,12.0,True,14.0,10.0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,NYJ,IND,BUF,TB,IND,NE,ARI,IND,IND,460,71.13769815926642,0.01,Lost Wild Card and Division at Same Time
12,17,9.0,1,2,5,13.085028470696471,False,Missed Playoffs,,True,True,15.0,11.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,IND,IND,BUF,IND,IND,IND,ARI,IND,IND,950,76.97075570997924,0.01,Lost Division First
13,41,7.0,1,2,4,12.346969436799997,False,Missed Playoffs,17.0,True,True,14.0,11.0,True,17.0,9.0,SEA,LAR,TEN,IND,BAL,HOU,IND,TEN,IND,JAX,BUF,IND,IND,IND,ARI,IND,JAX,490,72.62923198117646,0.01,Lost Division First
